rito,tempo_servico,salario,profissao,cargo,objeto_processo,quantidade_depoimento,acordo,pericia,recurso_ordinario,recurso_revista,audiencias,duracao_processo,tempo_audiencia
1.0,0.4011142061281337,0.0008436769108120454,0.5,0.5,0.5833333333333333,0.1111111111111111,1.0,0.0,1.0,0.0,0.736842105263158,0.034482758620689655,0.7388059701492538
0.0,0.5571030640668524,0.15924533681081682,0.0,0.0,0.6666666666666666,0.4444444444444445,1.0,1.0,0.0,1.0,0.5789473684210527,0.12068965517241378,0.26492537313432835
1.0,0.5877437325905293,0.46981241651663863,1.0,1.0,0.3333333333333333,0.5555555555555556,1.0,1.0,1.0,1.0,0.7894736842105263,0.41379310344827586,0.04104477611940298
1.0,0.6100278551532033,0.9470611216996024,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,0.9473684210526316,0.2931034482758621,0.23880597014925375
1.0,0.6657381615598886,0.1023235432318422,1.0,1.0,0.41666666666666663,0.2222222222222222,0.0,0.0,1.0,1.0,0.3684210526315789,0.7241379310344828,0.8432835820895522
0.0,0.12534818941504178,0.8566863243034915,1.0,1.0,0.5,0.6666666666666665,1.0,1.0,0.0,1.0,0.8421052631578947,0.0,0.15298507462686567
1.0,0.0947075208913649,0.5284796392990829,0.5,0.5,0.6666666666666666,0.1111111111111111,1.0,1.0,1.0,0.0,0.21052631578947367,0.27586206896551724,0.9067164179104477
1.0,0.701949860724234,0.8283085809016468,1.0,1.0,0.9166666666666666,0.5555555555555556,0.0,0.0,1.0,1.0,0.7894736842105263,0.5,0.5149253731343284
1.0,0.2256267409470752,0.29911619827991276,0.0,0.0,0.5833333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.2631578947368421,0.20689655172413793,0.3805970149253731
0.0,0.7103064066852368,0.8423791900068107,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.3684210526315789,0.27586206896551724,0.35074626865671643
1.0,0.5459610027855154,0.7750450084209304,1.0,1.0,0.08333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.894736842105263,0.793103448275862,0.059701492537313425
1.0,0.8412256267409471,0.23058249607991174,0.5,0.5,0.25,0.3333333333333333,0.0,0.0,1.0,1.0,0.5789473684210527,0.32758620689655177,0.31343283582089554
1.0,0.025069637883008356,0.13155605066285128,1.0,1.0,0.08333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.736842105263158,0.05172413793103448,0.2052238805970149
1.0,0.8662952646239555,0.8705737319768332,0.0,0.0,0.5,0.8888888888888888,0.0,0.0,1.0,1.0,0.42105263157894735,0.7586206896551724,0.49626865671641796
0.0,0.7938718662952646,0.9660533554371756,1.0,1.0,0.25,0.6666666666666665,0.0,0.0,0.0,1.0,0.631578947368421,0.22413793103448273,0.31716417910447764
1.0,0.6713091922005572,0.03121076611987815,1.0,1.0,0.5833333333333333,0.2222222222222222,0.0,0.0,1.0,0.0,0.736842105263158,0.22413793103448273,0.8246268656716418
0.0,0.6963788300835655,0.7333627229962673,0.0,0.0,0.41666666666666663,0.2222222222222222,1.0,0.0,0.0,0.0,0.47368421052631576,0.2413793103448276,0.39179104477611937
0.0,0.011142061281337047,0.9121736559508788,1.0,1.0,0.41666666666666663,0.5555555555555556,1.0,1.0,0.0,1.0,0.7894736842105263,0.05172413793103448,0.4253731343283582
0.0,0.3286908077994429,0.8598461530339108,1.0,1.0,0.75,0.5555555555555556,1.0,0.0,0.0,0.0,0.3157894736842105,0.20689655172413793,0.5149253731343284
1.0,0.8022284122562675,0.9673410450400984,0.5,0.5,0.5833333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.8421052631578947,0.8103448275862069,0.3246268656716418
0.0,0.17827298050139276,0.7622768717431591,0.5,0.5,1.0,0.8888888888888888,1.0,0.0,0.0,1.0,0.3157894736842105,0.1896551724137931,0.17910447761194032
1.0,0.403899721448468,0.44349001367411267,0.0,0.0,0.5833333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.6842105263157894,0.46551724137931033,0.5522388059701493
0.0,0.6211699164345404,0.31273645919676474,0.0,0.0,0.08333333333333333,0.8888888888888888,0.0,0.0,0.0,0.0,0.736842105263158,0.017241379310344827,0.4253731343283582
0.0,0.6629526462395544,0.3215544139929992,0.0,0.0,0.5,0.3333333333333333,1.0,1.0,0.0,0.0,0.3157894736842105,0.017241379310344827,0.23134328358208955
0.0,0.49025069637883006,0.726493989197979,0.5,0.5,0.16666666666666666,0.1111111111111111,1.0,0.0,0.0,0.0,0.42105263157894735,0.17241379310344826,0.8656716417910447
0.0,0.7409470752089137,0.747975017026646,0.0,0.0,0.41666666666666663,0.1111111111111111,0.0,1.0,0.0,0.0,0.9473684210526316,0.13793103448275862,0.7014925373134329
0.0,0.947075208913649,0.20079510477326842,0.0,0.0,0.8333333333333333,0.4444444444444445,1.0,1.0,0.0,0.0,0.7894736842105263,0.1896551724137931,0.3805970149253731
0.0,0.7827298050139276,0.8706423665190145,0.0,0.0,0.5,0.3333333333333333,0.0,1.0,0.0,1.0,0.3684210526315789,0.27586206896551724,0.059701492537313425
0.0,0.1727019498607242,0.7169659308691773,0.5,0.5,0.0,0.6666666666666665,0.0,0.0,0.0,1.0,0.894736842105263,0.2413793103448276,0.018656716417910432
0.0,0.6016713091922006,0.5643174294780079,1.0,1.0,0.5,0.4444444444444445,1.0,1.0,0.0,1.0,0.894736842105263,0.27586206896551724,0.5447761194029851
1.0,0.9498607242339834,0.47281491375805795,0.0,0.0,0.5,0.5555555555555556,0.0,1.0,1.0,1.0,1.0,0.8965517241379309,0.10074626865671642
1.0,0.8746518105849582,0.5447386343837938,1.0,1.0,0.75,1.0,0.0,1.0,1.0,0.0,0.3157894736842105,0.27586206896551724,0.13805970149253732
0.0,0.7855153203342619,0.15955366429261547,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,0.10526315789473684,0.12068965517241378,0.4402985074626866
0.0,0.49025069637883006,0.20414763817981194,1.0,1.0,0.5,0.1111111111111111,0.0,0.0,0.0,0.0,0.894736842105263,0.13793103448275862,0.7835820895522388
0.0,0.27019498607242337,0.09126018299024863,0.5,0.5,0.75,1.0,1.0,1.0,0.0,1.0,0.47368421052631576,0.08620689655172414,0.4253731343283582
1.0,0.28969359331476324,0.15394833402847807,0.5,0.5,0.41666666666666663,0.8888888888888888,0.0,1.0,1.0,0.0,0.3157894736842105,0.06896551724137931,0.25
0.0,0.27298050139275765,0.45492030473736733,0.0,0.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.0,0.8421052631578947,0.1896551724137931,0.15671641791044777
