Nivel_educacao,Avaliacao_desempenho,Experiencia_cargos_lideranca,Habilidades_competencias,Treinamento_lideranca,Feedback_supervisores,Satisfacao_trabalho,Coach,Empodera,Sucesso_membros,Orientado_resultados,Comunicador,Desenvolvimento_carreira,Estrategia_equipe,Habilidades_tecnicas,Idade_18-29,Idade_30-39,Idade_40-49,Idade_50-59,Idade_60-69,Idade_70-79,Idade_80-89,Indice_lideranca,Indice_competencias,Engajamento_desenvolvimento,Lider
0.25,0.8,0.0,0.6000000000000001,1.0,0.4508113939438647,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.48378574606483155,0.6666666666666666,0.7789915813173249,0
1.0,0.8,0.0,0.8,0.0,0.09639331137224673,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03191212233548161,0.8,0.5852925015609153,0
0.5,0.4,0.0,0.2,0.0,0.3350339721482419,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11149213252846579,0.26666666666666666,0.33333177371947453,0
1.0,1.0,0.0,0.2,1.0,0.5068709289947277,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5024800387987477,0.4666666666666667,0.9300416861458152,0
0.5,0.8,0.0,0.7000000000000001,0.0,0.732874920697713,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24416100227515108,0.7333333333333333,0.6762746048851558,0
1.0,0.2,0.0,0.30000000000000004,0.0,0.19787042051387707,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06575191038160082,0.26666666666666666,0.1706882246992012,0
0.5,1.0,0.0,0.7000000000000001,1.0,0.21789820932504453,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4061156895632508,0.8,0.8887343719144787,0
0.5,1.0,0.0,0.4,1.0,0.6316479502569389,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5440896982407224,0.6,0.947877984437294,0
0.5,0.6000000000000001,0.0,0.30000000000000004,0.0,0.482069525513715,0.2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16052439215055464,0.4,0.49738647974469047,0
0.5,0.6000000000000001,0.0,0.30000000000000004,0.0,0.8363355971760762,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.27866225475219497,0.4,0.5480271767640694,0
0.5,0.6000000000000001,0.0,0.7000000000000001,0.0,0.4990688072082519,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16619317887837254,0.6666666666666666,0.4998164484679177,0
0.5,0.4,0.0,0.5,0.0,0.6525828496687904,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21738583407824758,0.4666666666666667,0.37872391759569685,0
0.5,0.8,0.0,0.6000000000000001,0.0,0.656861240917268,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21881255833410695,0.6666666666666666,0.6654088008045485,0
