populacao,num_juizes,casos_recebidos,tipo_caso,taxa_crescimento_populacao,taxa_criminalidade,tempo_casos,nivel_automacao,congestionamento,advogados,urbanizacao,nivel_educacao,habitantes_por_juiz,idh,idade_juizes_18-29,idade_juizes_30-39,idade_juizes_40-49,idade_juizes_50-59,idade_juizes_60-69,idade_juizes_70-79,idade_juizes_80-89
0.4627141367495903,0.8421052631578947,0.6468222043443282,0.0,1.0,0.5430424989223306,0.0,0.5,0.3333333333333333,0.336734693877551,1.0,0.1130008887164755,0.1056565371486828,0.6663275571430785,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6660232810538188,0.6842105263157894,0.3950120675784392,0.5,0.6861737872432115,0.7269844311375369,0.4999999999999999,0.2,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.7136421113481866,0.186220033814533,0.614987654092775,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5840841863335532,0.4736842105263157,0.6106194690265486,0.5,0.246530191160805,0.1822085263867537,0.0909090909090909,0.7000000000000001,1.0,0.9387755102040816,0.0,0.6618867708461513,0.2344328264857051,0.7083388316660233,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1455023302334489,0.1052631578947368,0.493161705551086,0.0,0.3364924629717936,0.9163848495948042,0.9545454545454546,0.6000000000000001,0.0,0.2857142857142857,1.0,0.1854282183418401,0.2535657303164449,0.47401494630608,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.2981613500457534,0.5789473684210527,0.7071600965406275,0.0,0.5187816243395816,0.433989464483653,0.1818181818181818,1.0,0.3333333333333333,0.0918367346938775,0.0,0.9102270518368988,0.1025991064271995,0.8373723236625673,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0865314634717286,0.0,0.6870474658085277,0.0,0.120512397721626,0.3331550700072335,0.6363636363636365,0.7000000000000001,0.3333333333333333,0.4081632653061224,1.0,0.2051614718297341,0.5607880929695956,0.2218068587691787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0459151752463237,0.631578947368421,0.5020112630732099,0.0,0.8368671747981252,0.6236754949697897,0.5454545454545455,0.8,1.0,0.336734693877551,0.3333333333333333,0.5308228406718697,0.0198892884938209,0.7039599200012272,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8533506416122236,0.894736842105263,0.6765888978278358,0.5,0.8184852692108663,0.9491947759790856,1.0,0.7000000000000001,0.0,0.2551020408163265,0.6666666666666666,0.143963369220068,0.1817254082039028,0.3161132482664541,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1767338426507203,0.3684210526315789,0.7562349155269509,1.0,0.6885973317120384,0.6433513133370818,0.7272727272727273,0.0,0.0,0.183673469387755,1.0,0.5011420683689825,0.1022625448028673,0.5438085203441926,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7343916920261326,0.8421052631578947,0.8037007240547063,0.0,0.4761946895102724,0.5743521346056584,0.4545454545454545,0.4,0.3333333333333333,0.3061224489795918,0.0,0.6204791395983321,0.166498078066125,0.7826185648997884,0.0,0.0,1.0,0.0,0.0,0.0,0.0
