rito,tempo_serviço,salario,profissao,cargo,quantidade_depoimento,acordo,pericia,recurso_ordinario,recurso_revista,audiencias,tempo_audiencia,objeto_processo_0,objeto_processo_1,objeto_processo_2,objeto_processo_3,objeto_processo_4,objeto_processo_5,objeto_processo_6,objeto_processo_7,objeto_processo_8,objeto_processo_9,objeto_processo_10,objeto_processo_11,objeto_processo_12
0.0,0.309192200557103,0.9330327492357808,0.5,0.5,0.6666666666666665,1.0,1.0,0.0,0.0,0.0,0.1977611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.4456824512534819,0.9455838951686564,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3684210526315789,0.8283582089552238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.988857938718663,0.5438669756980925,1.0,1.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.736842105263158,0.4402985074626866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0947075208913649,0.9323173661230458,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.5263157894736843,0.2798507462686567,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9303621169916436,0.2995792174606275,1.0,1.0,0.4444444444444445,1.0,0.0,0.0,0.0,0.2105263157894736,0.0746268656716417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.7827298050139276,0.7300297240363447,1.0,1.0,0.7777777777777777,1.0,0.0,0.0,1.0,0.1578947368421052,0.3395522388059701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7994428969359332,0.3551526062647498,0.0,0.0,0.7777777777777777,0.0,1.0,0.0,0.0,0.4736842105263157,0.2985074626865672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.1142061281337047,0.6182340860254792,0.0,0.0,0.2222222222222222,1.0,1.0,1.0,1.0,0.6842105263157894,0.5932835820895522,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.6323119777158774,0.0172452206600531,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.7894736842105263,0.503731343283582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0250696378830083,0.1315560506628512,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.736842105263158,0.2052238805970149,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.8941504178272981,0.3189151518671235,0.0,0.0,0.7777777777777777,0.0,1.0,1.0,1.0,0.1578947368421052,0.5373134328358209,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.807799442896936,0.2960107492252216,1.0,1.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.4210526315789473,0.0410447761194029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4206128133704735,0.8796862873464303,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0526315789473684,0.291044776119403,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0306406685236768,0.3886943070287051,0.0,0.0,0.5555555555555556,1.0,1.0,0.0,0.0,0.4736842105263157,0.1417910447761194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0668523676880222,0.2124550575738217,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3157894736842105,0.5522388059701493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2674094707520891,0.2664915605911018,1.0,1.0,0.6666666666666665,1.0,0.0,1.0,1.0,0.3684210526315789,0.3582089552238806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9415041782729804,0.7254729183935293,0.0,0.0,0.1111111111111111,1.0,1.0,0.0,1.0,0.736842105263158,0.9253731343283582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.754874651810585,0.0362115844548041,1.0,1.0,0.6666666666666665,1.0,0.0,0.0,1.0,0.5789473684210527,0.0186567164179104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.8412256267409471,0.2305824960799117,0.5,0.5,0.3333333333333333,0.0,0.0,1.0,1.0,0.5789473684210527,0.3134328358208955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8662952646239555,0.1460221003225823,0.5,0.5,0.7777777777777777,0.0,0.0,0.0,0.0,0.5263157894736843,0.2313432835820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.5988857938718664,0.5974203971300203,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.4736842105263157,0.9029850746268656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.883008356545961,0.4733444556488868,1.0,1.0,0.2222222222222222,0.0,1.0,1.0,0.0,0.1052631578947368,0.753731343283582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.807799442896936,0.680306638016145,0.5,0.5,0.4444444444444445,0.0,1.0,0.0,0.0,0.4210526315789473,0.0261194029850746,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2284122562674094,0.3435338341895052,0.0,0.0,0.5555555555555556,0.0,0.0,1.0,1.0,0.0526315789473684,0.3992537313432835,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.298050139275766,0.4822173180788663,0.0,0.0,0.4444444444444445,1.0,1.0,0.0,1.0,0.2105263157894736,0.3507462686567164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.1671309192200556,0.174547671969125,0.0,0.0,0.1111111111111111,0.0,1.0,1.0,1.0,0.2631578947368421,0.5261194029850746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0334261838440111,0.7417899888600858,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.4736842105263157,0.753731343283582,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7409470752089137,0.0919687026487653,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0526315789473684,0.4104477611940298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0389972144846796,0.3130569297129492,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5263157894736843,0.5559701492537313,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9721448467966576,0.3738227856120881,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.2631578947368421,0.4813432835820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.2674094707520891,0.1420275699676361,1.0,1.0,0.4444444444444445,0.0,0.0,1.0,1.0,0.4210526315789473,0.1231343283582089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6963788300835655,0.1290619769915896,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5263157894736843,0.7276119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.3064066852367688,0.6879192646600742,0.0,0.0,0.6666666666666665,0.0,1.0,1.0,1.0,0.1052631578947368,0.0074626865671641,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2534818941504178,0.4866843708588293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9473684210526316,0.9328358208955224,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0668523676880222,0.0886430951010775,0.5,0.5,0.2222222222222222,0.0,1.0,1.0,0.0,0.8421052631578947,0.5932835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
